id,fascia,lang,testo
PRO-01,Pro,it,Il Muro dei 36: Riuscire a giocare il proprio handicap (raggiungere i 36 punti) superando la penalità matematica dell'handicap negativo.
PRO-02,Pro,it,Caccia al 4: Segnare una rarissima buca da 4 punti stableford netti.
PRO-03,Pro,it,Immuni allo Zero: Chiudere l'intero giro senza mai fare segnare una X sulla carta.
PRO-04,Pro,it,La Macchina da 3 Punti: Raccogliere almeno 3 punti netti su non meno di 5 buche diverse.
PRO-05,Pro,it,"Rimonta Netta: Fare uno score Stableford sulle seconde 9 superiore ad almeno 2 punti rispetto a quello delle prime 9, dimostrando tenuta mentale nel finale di gara."
PRO-06,Pro,it,Il Sacro Graal (Bogey-Free 18): Consegnare una carta immacolata: 18 buche senza bogey o peggio.
PRO-07,Pro,it,Zona 60: Rompere la barriera dei 70 colpi (giocare 69 o meno).
PRO-08,Pro,it,L'Aquila Reale: Segnare un Eagle (o un Albatross) sulla carta.
PRO-09,Pro,it,Quota -3: Sommare i punteggi di tutti i Par 5 del campo e chiudere con un risultato cumulativo di almeno 3 colpi sotto il par.
PRO-10,Pro,it,La Tempesta Perfetta: Segnare almeno 6 Birdie lordi totali durante l'arco delle 18 buche.
PRO-11,Pro,it,Rosso Assoluto: Chiudere sia le prime 9 che le seconde 9 buche con uno score lordo inferiore al Par del campo per ciascuna metà.
PRO-12,Pro,it,Bouvette: Chiudere le prime 9 con almeno 19 punti stableford all'attivo.
CEC-01,Cecchino,it,Il Giro Clean Sheet: Nessuna buca da 1  o 0 punti stableford. Chiudere tutto il giro segnando sempre almeno 2 punti a buca.
CEC-02,Cecchino,it,Back-to-Back: Segnare almeno due buche consecutive da almeno 3 punti stableford.
CEC-03,Cecchino,it,Sotto Par a Metà: Chiudere le prime o le seconde 9 buche con almeno 19 punti Stableford.
CEC-04,Cecchino,it,Dominatore dei Par 5: Raccogliere un totale di almeno 10 punti sommando solo i risultati dei Par 5.
CEC-05,Cecchino,it,Birdie Rush: Segnare non meno di quattro buche da almeno 3 punti stableford nell'arco delle 18 buche.
CEC-06,Cecchino,it,"Il Trofeo Vardon: Mai due buche consecutive da 1 punto stableford. Se fai 1 punto, la buca successiva devi assolutamente portarne a casa almeno 2."
CEC-07,Cecchino,it,Bogey-Free 9: Chiudere almeno metà percorso (le prime o le seconde 9) senza segnare nemmeno un Bogey.
CEC-08,Cecchino,it,"Il Trofeo Vardon medal: Nessun Bogey consecutivo. Se fai un Bogey, la buca dopo deve essere assolutamente Par o Birdie."
CEC-09,Cecchino,it,"Sotto Par sui Par 3: La somma degli score di tutti i Par 3 del campo deve essere inferiore al loro Par totale (es. se ci sono quattro Par 3, lo score cumulativo deve essere 11 o meno)."
CEC-10,Cecchino,it,Immuni allo Zero: Chiudere l'intero giro senza mai fare segnare una X sulla carta.
CEC-11,Cecchino,it,Bouvette: Chiudere le prime 9 con almeno 19 punti stableford all'attivo.
ONE-01,One dgt,it,Il Sacro Graal: Battere il proprio handicap portando a casa almeno 37 punti Stableford totali.
ONE-02,One dgt,it,Immuni allo Zero: Chiudere l'intero giro senza mai fare segnare una X sulla carta.
ONE-03,One dgt,it,"Bounce Back: Se fai una buca da 1 punto stableford (o 0), la sfida è fare subito almeno 3 punti sulla buca successiva."
ONE-04,One dgt,it,Dominio sui Par 3: Raccogliere sempre almeno 2 punti stableford su tutti i Par 3 del campo.
ONE-05,One dgt,it,Partenza Lanciata: Chiudere le prime 9 buche con almeno 19 punti stableford.
ONE-06,One dgt,it,Chiusura d'Acciaio: Raccogliere almeno 6 punti stableford totali sulle ultime 3 buche del giro.
ONE-07,One dgt,it,Hat-Trick di Birdie: Riuscire a segnare almeno 3 Birdie nell'arco delle 18 buche.
ONE-08,One dgt,it,Partenza Lanciata: Chiudere le prime 9 buche rompendo il muro dei 40 colpi (giocare 39 o meno).
ONE-09,One dgt,it,Il Limite del 7: Concedersi un massimo assoluto di 7 Bogey totali in tutta la carta (e nessun doppio o peggio).
ONE-10,One dgt,it,Chiusura d'Acciaio: Giocare le ultime 3 buche sotto il par complessivo.
ONE-11,One dgt,it,Cassaforte sui Par 4: Nessun Doppio Bogey o peggio su tutti i Par 4 del tracciato.
ONE-12,One dgt,it,Bouvette: Chiudere le prime 9 con almeno 19 punti stableford all'attivo.
SOL-01,Solido,it,Missione 36: Giocare esattamente il proprio handicap raccogliendo 36 punti stableford a fine giro.
SOL-02,Solido,it,"Il Triangolo da 3: Segnare almeno una buca da 3 punti stableford (o 4) su un Par 3, una su un Par 4 e una su un Par 5."
SOL-03,Solido,it,La Striscia: Infilare 8 buche consecutive portando a casa sempre almeno 2 punti.
SOL-04,Solido,it,Bogey Max: La X è vietata. La sfida è non fare mai meno di 1 punto stableford su nessuna buca per tutto il giro.
